?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
294.700		1795.29		1689.98	1689.98	1689.98	1699.82	1689.98	1699.82	95.4674	
294.680		1843.59		1688.19	1688.19	1688.19	1698.16	1688.19	1698.16	145.437	
294.660		1786.43		1686.60	1686.60	1686.60	1696.68	1686.60	1696.68	89.7453	
294.640		1708.40		1685.06	1685.06	1685.06	1695.27	1685.06	1695.27	13.1244	
294.620		1649.23		1683.57	1683.57	1683.57	1693.91	1683.57	1693.91	-44.6838	
294.600		1658.66		1682.03	1682.03	1682.03	1692.51	1682.03	1692.51	-33.8452	
294.580		1672.95		1680.38	1680.38	1680.38	1690.99	1680.38	1690.99	-18.0339	
294.560		1731.84		1678.80	1678.80	1678.80	1689.55	1678.80	1689.55	42.2892	
294.540		1724.98		1677.39	1677.39	1677.39	1688.28	1677.39	1688.28	36.6955	
294.520		1672.10		1676.02	1676.02	1676.02	1687.06	1676.02	1687.06	-14.9610	
294.500		1815.58		1674.76	1674.76	1674.76	1685.94	1674.76	1685.94	129.642	
294.480		1769.85		1673.58	1673.58	1673.58	1684.91	1673.58	1684.91	84.9403	
294.460		1800.72		1672.45	1672.45	1672.45	1683.94	1672.45	1683.94	116.784	
294.440		1681.24		1671.45	1671.45	1671.45	1683.09	1671.45	1683.09	-1.84129	
294.420		1704.40		1670.57	1670.57	1670.57	1682.37	1670.57	1682.37	22.0285	
294.400		1652.38		1669.86	1669.86	1669.86	1681.82	1669.86	1681.82	-29.4437	
294.380		1779.85		1669.22	1669.22	1669.22	1681.35	1669.22	1681.35	98.5078	
294.360		1775.00		1668.62	1668.62	1668.62	1680.92	1668.62	1680.92	94.0735	
294.340		1654.95		1668.00	1668.00	1668.00	1680.48	1668.00	1680.48	-25.5315	
294.320		1573.20		1667.34	1667.34	1667.34	1680.00	1667.34	1680.00	-106.796	
294.300		1649.52		1666.68	1666.68	1666.68	1679.52	1666.68	1679.52	-30.0002	
294.280		1652.66		1666.04	1666.04	1666.04	1679.06	1666.04	1679.06	-26.3972	
294.260		1652.66		1665.43	1665.43	1665.43	1678.64	1665.43	1678.64	-25.9822	
294.240		1669.81		1664.79	1664.79	1664.79	1678.20	1664.79	1678.20	-8.38628	
294.220		1664.38		1664.26	1664.26	1664.26	1677.87	1664.26	1677.87	-13.4862	
294.200		1646.09		1663.81	1663.81	1663.81	1677.62	1663.81	1677.62	-31.5372	
294.180		1662.38		1663.46	1663.46	1663.46	1677.48	1663.46	1677.48	-15.1052	
294.160		1699.54		1663.14	1663.14	1663.14	1677.38	1663.14	1677.38	22.1538	
294.140		1652.09		1662.81	1662.81	1662.81	1677.27	1662.81	1677.27	-25.1820	
294.120		1658.38		1662.48	1662.48	1662.48	1677.18	1662.48	1677.18	-18.8004	
294.100		1688.10		1662.35	1662.35	1662.35	1677.28	1662.35	1677.28	10.8263	
294.080		1660.66		1662.27	1662.27	1662.27	1677.44	1662.27	1677.44	-16.7751	
294.060		1701.82		1662.10	1662.10	1662.10	1677.51	1662.10	1677.51	24.3102	
294.040		1672.67		1661.77	1661.77	1661.77	1677.43	1661.77	1677.43	-4.76467	
